SLNO,numPS,namePSe,namePSh,PART_CATEGORY,PART_LAT_LONG,latPS,longPS,acPS
159,159,RAJNANDAN SAHU INTER COLLAGE NARAYANPUR,राजनन्‍दन साहू इण्‍टर कालेज नरायनपुर,R,25.35334889552418-83.07683933526278,25.3533489,83.07683934,386
160,160,COMPOSIT VIDYALAYA NARPATPUR R.NO.1,कम्‍पोजिट विद्यालय नरपतपुर क0सं0 1,R,25.408883959021008-83.06415550410748,25.4136933,83.0791567,386
161,161,COMPOSIT VIDYALAYA NARPATPUR R.NO.2,कम्‍पोजिट विद्यालय नरपतपुर क0सं0 2,R,25.413192752972986-83.06031793355942,25.41319275,83.06031793,386
162,162,PRATHMIK VIDYALAYA CHUHARPUR,प्राथमिक विद्यालय चुहरपुर,R,25.417948358624663-83.0623483657837,25.40634,83.082305,386
163,163,PRATHMIK VIDYALAYA DUBKIYA R.NO.1,प्राथमिक विद्यालय डुबकिया क0सं0 1,R,25.416652577636377-83.06398015469313,25.41665258,83.06398015,386
164,164,PRATHMIK VIDYALAYA DUBKIYA R.NO.2,प्राथमिक विद्यालय डुबकिया क0सं0 2,R,25.408041139955433-83.05927287787199,25.4169931,83.0755588,386
165,165,PRATHMIK VIDYALAYA PAHARIA,प्राथमिक विद्यालय पहडिया,R,25.407629570761795-83.06005038321018,25.40762957,83.06005038,386
166,166,SHRI GANDHI INTER COLLEGE GAURAKALA CHIRAIGOAN R.NO.1,श्री गांधी इण्‍टर कालेज गौराकला चिरईगांव क0सं0 1,R,1.2070207736634624--169.9999999254942,25.3636774,83.074253,386
167,167,SHRI GANDHI INTER COLLEGE GAURAKALA CHIRAIGOAN R.NO.2,श्री गांधी इण्‍टर कालेज गौराकला चिरईगांव क0सं0 2,R,25.42459692838473-83.04878812283276,25.3633959,83.0743338,386
168,168,SHRI GANDHI INTER COLLEGE GAURAKALA CHIRAIGOAN R.NO.3,श्री गांधी इण्‍टर कालेज गौराकला चिरईगांव क0सं0 3,R,25.42438133103734-83.07254780083893,25.3638633,83.073965,386
169,169,PRATHMIK VIDYALAYA SEEO R.NO. 1,प्राथमिक विद्यालय सीवों क0सं0 1,R,25.42399787902832-83.07221221923828,25.42399788,83.07221222,386
170,170,PRATHMIK VIDYALAYA SEEO R.NO. 2,प्राथमिक विद्यालय सीवों क0सं0 2,R,25.43010845883012-83.04927058517931,25.43010846,83.04927059,386
171,171,PRATHMIK VIDYALAYA SEEO R.NO. 3,प्राथमिक विद्यालय सीवों क0सं0 3,R,25.428912427873602-83.05912770330906,25.42891243,83.0591277,386
172,172,PRATHMIK VIDYALAYA SHANKARPUR R.NO. 1,प्राथमिक विद्यालय शंकरपुर क0सं0 1,R,25.409151067535436-83.09676345437765,25.40915107,83.09676345,386
173,173,PRATHMIK VIDYALAYA SHANKARPUR R.NO. 2,प्राथमिक विद्यालय शंकरपुर क0सं0 2,R,25.41289900398774-83.09468071907759,25.3696033,83.0799767,386
174,174,PRATHMIK VIDYALAYA SHANKARPUR R.NO. 3,प्राथमिक विद्यालय शंकरपुर क0सं0 3,R,25.414050980445094-83.09568788856268,25.41405098,83.09568789,386
175,175,PRATHMIK VIDYALAYA MADHANI,प्राथमिक विद्यालय मढ़नी,R,25.431142788940768-83.09099569916725,25.3690752,83.0950174,386
176,176,PRATHMIK VIDYALAYA BABHANPURA R.NO.1,प्राथमिक विद्यालय बभनपुरा क0सं0 1,R,25.409703150492543-83.09703066945076,25.40970315,83.09703067,386
177,177,PRATHMIK VIDYALAYA BABHANPURA R.NO.2,प्राथमिक विद्यालय बभनपुरा क0सं0 2,R,25.408378510564948-83.07690437883139,25.3502226,83.0904579,386
178,178,PRATHMIK VIDYALAYA BABHANPURA R.NO.3,प्राथमिक विद्यालय बभनपुरा क0सं0 3,R,25.41179577331619-83.07891838252544,25.41179577,83.07891838,386
179,179,PRATHMIK VIDYALAYA BABHANPURA R.NO.4,प्राथमिक विद्यालय बभनपुरा क0सं0 4,R,25.411405415605092-83.07858277112244,25.3505632,83.0901086,386
180,180,COMPOSIT VIDYALAYA SINGHWAR,कम्‍पोजिट विद्यालय सिंहवार,R,25.41334719802874-83.07288374751808,25.4133472,83.07288375,386
181,181,PRATHMIK VIDYALAYA NEWADA R.NO.1,प्राथमिक विद्यालय नेवादा क0सं0 1,R,0.007270798067611118-0.004739798605442047,25.3577338,83.0884144,386
